Question,Subj_Q,Answer,Subj_A,Domain
كم يلزمني من الوقت حتي أصبح مطورا ماهرا  ,0,قد يفيدك هذا الفيديو  إنجليزي  الجميل فيه أنه يذكر عدد الساعات وليس مجرد عدد الأيامكيف تبدأ أنصحك بقناة الزيرو واتباع مسار التعليم الموجود في الموقع ,1,تطوير الويب
كيف يحصل موقع alexa على عدد زوار المواقع ,0,هناك فكرة مغلوطه تواجه كل شخص تعرف على اليكسا وترتيباته للمواقع فيبدأ يتسائل لماذا لم ينقص ترتيبي في اليكسا   كيف يعمل اليكسا   اشك انه لعبة اقتصادية    الخ   من الافكار التي تخطر على بال اي شخص يتعامل معه وانا كنت منهم آنذاك   والمصيبة الاكبر هي عندما لايحصل على اجوبه لأسئلته يبدأ بالحكم على الموقع واشهر حكم شائع هو   اليكسا ليست دقيقة كفاية   فأقول ان الطريقة الوحيدة للحصول على إحصاءات حركة المرور الدقيقة او الزيارات او الترافك هي امتلاك الموقع الفعلي نفسه  هناك بعض الأشخاص الذين يدفعون مقابل الخدمات الممتازة التي تقدمها Alexa والتي تمنحهم إمكانية الوصول إلى حركة مرور مواقع الويب هذه او بما تعرف بالترافك   لكن أي موقع لا يقوم بذلك ليس لديهم أي فكرة عنه بخلاف شريط أدوات Alexa toolbar الذي يمثل نسبة صغيرة جد ا من أصحاب الموقع لديها وهو عبارة عن اضافه تضيفها لمتصفحك أتذكر في احدى الايام كنت قادرا على التأثير على ترتيب موقعي في اليكسا من خلال برنامج hitleap رغم انها تعتبر زيارات وهميه لكن كانت تأتي بنتيجه فعندما اقرأ ان هناك من كان يدخل على موقعه عدة مرات يوميا ويشاهد ظهور ترتيبه يتغير في اليكسا كنت لا اصدقه    وايضا من كان يستهزأ ببرامج جلب الترافك كنت حينها استخدمها والتي في هذا الوقت لم تعد تعمل بشكل جيد وان يدل هذا على شيئ فانه يدل على ان اليكسا تتطور يوم بعد يوم واستطاعتها على فلترة الزيارات ان كانت من ايبي واحد او بروكسي واحد وبعدها اليكسا تطورت وبدأت تراقب مدة بقاء الزائر في الموقع لذلك تجد مواقع جلب الترافك او الزيارات تقول لك نجلب لك الف زيارة وتكون كل زيارة ٦٠ ثانية بقاء الزائر في موقعك مقابل هذا العدد من النقاط والتي تستطيع الحصول عليها بطريقة مجانية او شرائها ثم تطورت هذه المواقع لتحدد لك مصدر الزيارة التي تريدها على سبيل المثال   جوجل   فيسبوك   يوتوب   تويتر الخ    ثم بدأت تقدم خدمات مثل الكلمة المفتاحية التي تريد ان يأتيك زيارات من خلالها وبدأت البوتات الخاصة بجلب الترافك تتطور بحيث وصلنا من الناحية النظرية لانستطيع ان نميز الزيارات الحقيقة من غير الحقيقة فعندما تختصر رابط معين وتضعه في احدى تلك البوتات ستشاهد ان مصدر الزيارة جوجل ويوتوب وان الجهاز كان هاتف او لابتوب وكذلك نوع النظام اندرويد ايفون واسم المتصفح الخ    لذلك نتفاجئ ونقول كيف لجوجل ادسنس ان تميز الزيارات الوهميه واغلاق الحساب فورا والجواب ببساطة وربما اكثر تعقيدا هو ان الروبتات التي تطورها الشركات تطتور يوم بعد يوم وبعضها ميزت بالذكاء الاصطناعي بحيث تستطيع ان تعلم نفسها بنفسها وهذا ما فعلته شركة الفيسبوك لكنها سرعان ما تتدراكت الامر واوقفتها لان القائمين على برمجة تلك الروبتات لم يستطيعو فهم تواصل تلك الروبتات مع بعضها لانها استطاعت ان تنشأ لغة لايفهما احد سوى الروبوتات نفسها وفي احدى الحلقات على اليوتوب شرحت احدى خدمات الذكاء الاصطناعي التي تقدمها شركة مايكروسوفت والتي من خلاله تستطيع تحويل ما ترسمه على ورقة الى صفحة موقع الكتروني بثواني معدودة وهذا هو رابط الفيديو ان احببت مشاهدته وايضا في نفس الحلقة شرحت خدمة الذكاء الاصطناعي التي تسخدمها شركة الفيسبوك من اجل تحليل الصور ومعرفة تفاصيل اي صورة وبناءا على ذلك توجه لك اعلانات مستهدفه ومتأكد من أنها تطورت منذ ذلك الحين     فعلى العموم اخي نعود لموضوعنا واقول لك بصدق إذا كنت تستخدم أليكسا لأي جانب من أبحاثك او الحصول على احصائيات لشركات أخرى وتبحث عن بيانات مقارنة دقيقة   فإنني أوصي بها وبشدة ولكي لا اظلمك في المعلومة ستجد هنا نوعا ما الية عمل موقع اليكسا في هذه المقاله الانجليزيةhttp   waystoavoidscamsonli   لاتخف من الانجليزية تستطيع ترجمة كل فقرة بواسطة جوجل ترجمة او شراء احدى خدمات الترجمة عبر خمسات او اي موقع اخر ولطالما اعتقدت ان شراء المعلومة هو من يعطي للمعلومة قيمتها لكن لامشكلة   وايضا احب ان اقول لك انه حتى في المحتوى الاجنبي ربما لاتجد جواب مقنع لاستفسارك فليس من مصلحة بعض الشركات من عرض جميع التقنيات التي تسخدمها وكيفية استخدامها لكن الاهم هو ان لاتتوقف عن التفكير بمثل هذه الاسئلة لانها الوحيدة التي ستعلمك قيمة المعلومة وانت الان في نعمة يكاد الاخرين محرومين منها وهي نعمة الاستكشاف ومعرفة كيفية عمل الاشياء بالتوفيق يا عزيزي   آه أيتها البرمجة وأيتها المشاريع التي خططت لك و لم تريين النور بعد اقول لك وبكل صراحة كم اشتقت اليك     لكني سأعود اليك ولو بعد حين   أسألكم الدعاء لاني في السنة الاخيره من الثانويه ومقبل على الدراسة الجامعية  _ ,0,تطوير الويب
ارغب بالبدء في متجر ThemeForest ولكن لا اعرف كيف ابدأ  ,1,قد تفيدك هذه المشاركات,1,تطوير الويب
هل توجد طريقة لاستخراج رمز دولة الزائر بدون api    ,0,وعليكم السلام لطالما هناك خدمات api تمكنك من ذلك فهذا يعني نعم بالتاكيد يوجد طريقه لكنها تحتاج عمل كثير نوعا ما لكن يمكنك استخدام هذه  فهي مجانيه 100  وتؤدي المطلوب ,1,تطوير الويب
6 مزايا ي حسد عليها المبرمجون ومطورو الويب بشكل خاص   مدونة توتومينا,0,اخي ان كنت كاتب المقالة فسمح لي بالسؤالبعض من أصدقائي هاجروا إلى ألمانيا وفرنسا وحصلوا على فرص للعمل هناك فقط لأنهم يتقنون بعضا من لغات البرمجة المطلوبة مثل جافاسكريبت وPHPهل تقصد تعلموا البرمجة تعليم ذاتي فقط وهذا ساهم في عثورهم على عمل برمجي في المانيا او فرنسا,1,تطوير الويب
هل توجد استضافة WordPress مجانية ,0,توجد هذه الاستضافة لكن بشرط وجود نطاق مدفوع وهناك الكثير من الاستضافات ذات النطاق الفرعي مثل  ملاحظة  معظم الاستضافات التي تعمل على php  تقبل wordpress  يعني معظم الاستضافات ملاحظة2  الاستضافات المجانية للتجربة أو لموقع شخصي بسيط  وهناك توقف للخدمة أحيانا  وخدمة العملاء سيئة  لكن لعمل موقع احترافي يجب استخدام استضافة موثوقة ومدفوعة ,0,تطوير الويب
ما Progressive web applications وكيف يمكنني تعلم ذلك ,0,تطبيقات Pwa هي مجرد تطبيقات ويب مبنية بواسطة Css  Html و جافاسكريبت الفرق بينها وبين تطبيقات الويب العادية أنها محسنة  Optimized  بشكل كبير لتكون سريعة وتمنح المستخدمين تجربة مشابهة لتلك التي يجدونها في التطبيقات الأصلية  أندرويد  iOS  كتبت مقالا عن هذا الموضوع في مدونة توتومينا  أرجو أن يجيب على كثير من أسئلتك بشكل أفضل  ,0,تطوير الويب
هل هناك مكتبة لنافبار متجاوب به mega menu بدون اللجوء إلى مكتبات مثل بوتستراب,1,هل سمعت عن Bulma ,0,تطوير الويب
من خبرتكم   ما هي خطة إنشاء و إطلاق موقع إلكتروني  ,0,إن كان الموقع قد أطلق بالفعل إثراء مدونة الموقع بشتى أنواع المحتوى  إعداد خطة تسويقية للموقع والانطلاق فيها الترويج له بطريقة احترافية عبر قنوات التواصل الاجتماعي كتابة مقالات وأخبار صحفية عنه ونشرها في مواقع أخرى بإذنهم   تسمى رسائل باردة تحسين السيو لأنه مهمة لا تنتهي وتأخذ الوقتاعداد محتوى دائم الخضرة لمدونة الموقع إن كان الموقع لم يطلق بعد إعداد محتوى دائم الخضرة لمدونة الموقع إعداد فيديو تعريفي بالموقع   عبر برامج سهلة للقيام بذلك   إعداد شروحات بالفيديو إن كان يحتاج ذلك  أي ما يسمى بالـ knowledge base الخاصة بالموقع  مثال عليها  كتابة صفحات من نحن والخصوصية بشكل احترافي  يمكن تعلم ذلك ثم تطبيقه إعداد نماذج المراسلات  مثلا رسالة الشكر رسالة التسجيل رسالة القبول وغيرها من رسائل الإجراءات بشكل إبداعي مبتكر وليس آلي منسوخ   بما فيها رسالة احترافية لمن هو خارج المكتب أو العمل أو في إجازة   التحضير للأعداد الأولى من النشرة البريدية للموقع   الخ,1,تطوير الويب
اعلمني اخر موقع من برمجتي توصل بجديد طلبات الاعمال المفتوحة على خمسات,0,مرحبا بك  الفكرة جميلة لكن تتطلب المزيد من التطوير  عندما كانوا يقولون أن افكارك يوجد اخرين فكرو بها لم اكن اصدق كثيرا لكن بالفعل كنت افكر في عمل مثل هذا التطبيقماذا استخدمت لجلب البيانات من الموقع حيث أنهم لا يقدمون api ولا rss وفي ماذا تحتاج تقنية cronjob هنا ,1,تطوير الويب
كيف تبيع موقعك  ,0,شكرا  لك الموقع مفيد جدا  ,1,تطوير الويب
سؤال  كيف يتم تثبيت لغة البرمجه بي اتش بي على السيرفر المحلي PAW Server for Android,0,قمت بتحميله وتثبيت php لكن لم اعرف كيف يمكنني الاستفادة من ذلك بعدها paw html app plugins ,0,تطوير الويب
ماهي خطوات تعلم لغة البرمجه بي اتش بي,0,تعلم لغة البي اه بي يبدء من تعلم لغة البي اه بي   فقط حاول ان تقوم بصناعة مشروع بسيط مثل مدونة   ابحث في اليوتيوب وسوف تلقى شروحات لكيفية بناء شيء مثل ذلك ,1,تطوير الويب
للنقاش   هل نستطيع فعلا  أن أن نثق في معادلة  لغة برمجة أحدث   راتب أعلى   ,0,لغات البرمجة الحديثة التي تشتهر تكون ورائها شركات أو مجتمعات كبيرة  وبالتالي تلقى تفاعلا أكثر  دروس   مكتبات   أدوات    كما تأخذ أحسن الخصائص والأكثر  سهولة   إنتاجية   أمان   سرعة      طلبا لدى المبرمجين وبيئة التشغيل المستهدفة  المتصفح   أجهزة المحمول   أنترنت الأشياء   الحوسبة السحابية   و بالنتيجة تكون مطلوبة في سوق الشغل   اللغات الجديدة والمنصات مذلك التي لم تلق رواج تبقى محصورة لدى مجتمعات ضيقة حتى وإن كان أجور مبرمجيها مرتفعة  ,1,تطوير الويب
منجنيق     اخر اعمالي  انطباعاتكم فضلا,1,وعليكم السلام ورحمة الله تعالى وبركاتهجيد لكن معرض المواضيع الأول صغير جد ا,1,تطوير الويب
موقع يحدد لغة البرمجة المناسبة لك  ,0,الحقيقة جيد اعجبني واسلوب وطريقة عمل الموقع ممتعة,1,تطوير الويب
هل توجد طريقة لتحديث rss  بدون استخدام الكرون,0,اعملها داخل شرط يحدد الساعة المحددة وعند دخول زائر بتلك الساعة يتنفذ الأمر ويحدد المهمة انها تمت بحيث ما تتغير عن دخول زائر ثاني,0,تطوير الويب
دليل الدواء   رأيكم واقتراحاتكم,0,موقع جميل  أعجبني الشعار  حرف الدال الذي يشبه اليد التي تعطي الدواء   التصميم يحتاج تحسينات  مؤذي للعين  تباين عالي   حرف الواو البعيد عن الدال في كلمة الدواء  الشريط العلوي يتداخل مع النص عند إنزال الScroll  قبل أن يختفي  عنا تلك التي في الأسفل  ماذا تفعل هناك  عند النقر على البحث عن الأدوية أو بدائل الأدوية أو أسعار الأدوية تنقلني إلى نفس الموقع مع إشارة الهاش   عند البحث بعد النقر بالخطأ على الأيقونات السابقة لا أستطيع البحث ,1,تطوير الويب
تمرير البيانات من وإلي اي مكان بالقالب في بلوجر,0,السلام عليكم ممكن قالب مدونتك   بصراحه عجبني بسيط وسهل جدا بس بدو شويه تعديل قرأت لك بموضوع انطلاق الموقع لكن الى الان لا يوجد موضوع بداخله هل لغيت الفكره  ,1,تطوير الويب
من يملك نطاقات مواقع الويب ومن اين تحصل شركات بيع وتأجير النطاقات على النطاقات التي يرغب بها العميل  ,0,من هذه المنظمة  لن تكون مجانية  وبالتالي ستبيعها أنت بمبلغ إضافي للعميل النهائي ,0,تطوير الويب
قصة تطور ووردبريس   من البدايات إلى Gutenberg   مدونة توتومينا,0,ووردبريس يجمع بين البساطة والمرونة ومناسب لجميع أنواع المشاريع الصغيرة والمتوسطة التي تشكل غالبية المشاريع على الإنترنت من دون شك  وكما قلت  يستفيد كذلك من مجتمع مخلص ونشيط ,1,تطوير الويب
شكرا على دعمكم  لقد تجاوز تطبيق صورة Soora عتبة ال300 تحميل و أول تحديث   ,0,مبروك عليك هذا الإنجاز مع متمنياتي لك بمزيد من التحميلات هل يمكن أن تشارك معنا مسارك في تعلم برمجة التطبيقات أو ماتنصح به الراغبين في تعلم برمجة تطبيقات أندرويد  حيث خلال بحثي عن شروحات وبالظبط الخاصة بإنشاء الواجهات صدمت من عدم وجود محتوى عالي الجودة  أغلب الشروحات التي تجدها هي من الهنود   مع كامل الإحترام للمجهودات المبذولة ولكن طريقة الشرح سيئة ونطقهم زاد الأمر سوءا   إذا كانت لديك مصادر تراها عالية الجودة من غير التوثيق فسأكون شاكرا لك مشاركتها بالتوفيق,1,تطوير الويب
ما البديل لخرائط جوجل للمطورين  ,0,هناك Mapbox وهم يأخدون  0 50 لكل ظهور 1000 لخرائط,0,تطوير الويب
استخدام VPS ام ReSeller   و  اي الشراكات الافضل   واي الاضافات احتاجها  ,0,و عليكم السلام و رحمة اللهسعيد جدا لهذا النجاح الأولي لمشروعك إن كنت تمتلك خبرة في مجال إدارة السيرفرات و ما يتعلق بها  فلا مشكلة من أن تحجز سيرفر افتراضي VPS و لكن للأسف عليك أن تقوم بشراء ترخيص للوحة التحكم CPanel و إلا فعليك استخدام لوحات التحكم المجانية و التي في معظم الأحيان  تكون غير معدة للإستخدام من طرف الأشخاص الذين لا يمتلكون خبرة تقنية ولو بسيطة لهذا إن كنت تريد توسعة نشاطك بدون الدخول في متاهات إعدادات السيرفرات و ترى بأن نسبة النمو لن تكون كبيرة جدا و متسارعة  فمن الأفضل أن تختار ReSeller حتى تركز بشكل أكبر على توسعة انشطتك عوض التفكير بإدارة السيرفر و المشاكل المرافقة لذلك تحياتي الحارة,1,تطوير الويب
ما هو الحل النهائي لمشاكل jQuery مع ajax,0,واجهت نفس المشكلة من قبل وكل الاجوبة والبحوثات كانت تاخذني لمكتبة اسمها history js خاصة بالتعامل مع الاجاكس بالتنقلات اللي بتتكلم عليها لكن خبرتي ما ساعدتني افهمها  ممكن تشوفها وتخبرني شو بيصير معك,1,تطوير الويب
هل هناك أحد من الاخوه تعامل مع أعلانات حسوب,0,نعم انا تعاملت معاها واسعارها افضل من جوجل لكن المواقع التي قد تسوق لك لن تكون بحجم المواقع التي تعمل مع جوجلفي البداية يمكنك ان تبداء بوضع رصيد واستخدم ف اول حملة جزء من هذا الرصيد وقم بتحليل نتائج حملتك هذه وحسب النتائج والاخطاء قم بالتعديل علي الحملة الثانية,0,تطوير الويب
لماذا فشل الهاشتاج على فيسبوك  لعنه تويتر  ,0,خاصية البحث في فيسبوك كارثة حقيقية  لا تعيد سوى عدد قليل من النتائج ولا تحوي مصحح تلقائي  لا أدري هل ذلك عدم اهتمام منهم أن أن الأمر مقصود للحفاظ على البيانات من القراءة عن طريق البوتات ,1,تطوير الويب
عندما ينفذ صبر فيسبوك مع مانع الإعلانات Adblocker,0,حتي وان استطاع فيس بوك تجاوز ادبلوك فتستطيع انت حجب الاعلان بنفسك من خلال اد بلوك ايضا,0,تطوير الويب
اواجه مشكلة حينما خصصت صفحة خاصة بالانجليزي في الووردبريس العربي,0,المشكلتين الاولى والثانية تحل بطريقة بسيطة جدا عن طريق اضافة إحدى اضافات الوردبريس التي تدعى ب Polylangوهذا رابط الاضافة وهذا فيديو يوضح لك كيفية تنصيب واعداد اعدادات الاضافة إما بخصوص تخصيص ودجات مخصصه فاعتقد انه يجب ان تنشئ مدونه فرعيه على نفس النطاق فاذا كان نطاق موقعك ar name comفيجب تنصيب وردبريس آخر على النطاقen name comومثال على ذلك موقع قناة rt الفضائيةالمدونة العربية لقناة rtالمدونة الفرنسية لقناة rtاما المدونة الانجليزي فهي على النطاق الاساسيrt comاتمنى اني قد فدتك ولو بمعلومة بسيطة فربما افلحت في المساعدة وربما لا مادام طرحت سؤالك ان شاء الله في اقرب وقت ستحصل على الاجابة الوافية,0,تطوير الويب
سورس كود مدونة معمولة بلغة بايثون باستخدام اطار العمل جانغو,0,بجد شغل عالي جدا       تسلم إيدك عالمهاره العاليةربنا يوفقك,1,تطوير الويب
أريد التعمق في برمجة الذكاء الإصطناعي  فهل يمكنك مساعدتي ,0,أولا  أحييك على معرفتك المسبقة بما تريد أن تصبح وهي صفة نادرة للأسفثانيا  بالنسبة للذكاء الصناعي فهو ليس تخصص قائم بخد ذاته  فهو من الممكن أن يتواجد بالكثير من التخصصات تبعا  للمنتجات أو التطبيقات  فمثلا  تخصص الروبوتات   الميكاترونكس  معني بجزئية معينة من الذكاء الصناعي بينما تخصص هندية الحاسوب معني بجزئية أخرى للذكاء الصناعي  في حين أن الهندسة الميكانيكية لها أيضا  جزئيتها الخاصة بتطبيقات الذكاء الصناعي الخطأ الشائع أن الذكاء الصناعي مرتبط بالبرمجة  هذا الكلام خاطئ طبعا   فالبرمجة ما هي إلا تنفيذ لتعليمات الذكاء الصناعي حيث أن المبرمج بحد ذاته قد لا يكون على علم كيف يعمل الذكاء الصناعي  أو ماهية العمليات التي تتم  هو فقط يطبق خوارزمية الذكاء الصناعي على شكل كود برمجي لنعود للذكاء الصناعي بحد ذاته  فهو عبارة على علوم رياضيات  فالذكاء الصناعي بشقيه المنطق المشوش و الشبكات العصبونية ما هي إلا مجموعة من المعالادت التي تكون معادلات منطقية في المنطق المشوش و معادلات حسابية في الشبكات العصبونية  و الهدق هو إيجاد المعادلات اصحيحة التي تعطي نتائج دقيقة إذا أردت أن تدرس الذكاء الصناعي فانا أنصحك بدراسة هندسة الحاسوب  صحيح أن البرمجة فيها أقل من علوم الحاسوب إلا أنها تتطرق للرياضيات أكثر بكثير  نفس الحال مع هندسة الميكاترونكس إلا أن هندسة الحاسوب قد تشبع رغبتك بالبرمجة أكثر بينما الميكاترونكس تتطرق للتطبيقات العملية أكثر مثل الروبوتات و المصانع و الاتمتة والتحكمأما إن كنت فقط تبحث عن الذكاء الصناعي فلا بد أن تدرس الرياضيات  و تتعمق في مجال الشبكات العصبونية و الإنتشار العكسي و المنطق و غيرها من الامور الرياضية البحتة ,0,تطوير الويب
كم سنة من الدراسة احتاج لقرائة وفهم كود من 37000 سطر بلغة سي   ومن اين ابدا,0,ليس من الحكمة   محاولة قراءة السورس في حين ليست لديك اي خبرة في انشاء برامج سابقا بهده اللغة أو بأي لغة اخرى لانك ستجد صعوبة بليغة في تحليل البيانات  لدا وجب عليك المرور على دورات ثم انشاء برامج بوضع prod حتى لو كانت بسيطةليس شرط ان يقرأ المطور السورس كود بالكامل لوحده في المشاريع الضخمة وانما قد يحتاج لفريق من المطورين لتقسيم المهام ومراجعة الاكواد أو التطوير عليها أو قد يتطرق لجزء معين من الكود لتطويره حسب حاجته وليس  بالضرورة كل السورس,1,تطوير الويب
رايكم فى تصميم مدونتى الجديده,0,جميل    ممكن القالب,1,تطوير الويب
هل هناك موقع لبيع المنتجات الرقمية بعمولة تكون منخفضة ,0,نعم  مصدر  نسبة 9 90  من قيمة كل عملية بيع متحققة  أي أنه إذا لم تحقق أية عملية بيع لن تدفع أي شيء لقاء استخدام منصتنا مصدر  نعم  وهو شخص يجيد العربية بامتياز ومتعاون جدا  ,1,تطوير الويب
هل يوجد طريقة لحماية الفيديوهات التعليمية من التحميل ,0,وعليكم السلام مهما حاولت حماية الفيديوهات من التحميل فلن تستطيع فعل ذلك 100  وكل مابإمكانك القيام به هو تصعيب المسألة فقط  لذا بدل تضييع وقتك في محاولة القيام بشيء لايمكنك القيام به فأنصحك بأن تنشئ المنصة بحيث لاتحتوي الفيديوهات على كل القيمة المقدمة وبالتالي حتى إذا حصل شخص عليها فلن يستفيد منها كما لو اشتراها  لاأعلم نوع المحتوى الذي تريد تقديمه كي أساعدك بشكل أكبر ولكن كمثال يمكنك إضافة للفيديوهات تقديم دعم فني  أو جعل المنصة باشتراك شهري بحيث تنشر فيها فيديوهات بشكل دوري وليس كورس يتم تحميله في مرة واحدة ,0,تطوير الويب
Infinite Math لعبة الغاز الرياضيات متوفرة الان علي جوجل بلاي,0,يبدوا انك معجب بالرياضياتولكن التصميم رائع جداكيف تعلمت التصميم ليبدوا بهذا الشكل ,1,تطوير الويب
أول PSD to HTML5 لي تقييمكم  ,0,تكويد جميل كبداية ولكن لدي بعض النقاط اللتي عليك تعديلها لو جعلت العناصر في أول قسم أصغر قليلا لظهر الموقع أجمللم يكن عليك على الإعتماد على اللون الأسود  000 بل كان يجب اختيار لون أفتح ليبدو أجملالأيقونات المستخدمة برأيي غير مناسبة كان الممكن إستخدام أخرى أن يجعل التصميم أفضليجب جعل جميع العناصر محاذاة أفقيا بحيث تكون المساحات الفارغة من اليمين واليسار متساوية في جميع الأقسام,1,تطوير الويب
 نقاش  متى استخدم Reactjs فى مشروعاتى ومتى استخدم Angular,0,هذا يعتمد على طبيعة المشروع  بالنسبه لي انا اعمل على تطبيق يحتوي على الكثير من البيانات  حيث كان مستخدميه يعانون من مشاكل عديده خلال استخدامه  مثل تعليق المتصفح  البطيء خلال التصفح  وبعدما قررنا ان نقوم باعاده برمجة واجهة المستخدم قمنا بعمل مقارنه بين ال react و angualr   وفي حالتنا هذه كانت ال react مناسبه اكثر ووفرت علينا الكثير  والان مستخدمي التطبيق قليل جدا اذ لم يكن معدوم معاناتهم مع التصفح بالتالي لا يوجد شيء افضل من الاخر بالنسبه لي  بجميع الاطر واللغات تستطيع عمل ما تريد  ولكن الاستخدام يعتمد على طبيعة المشروع بشكل كبير ,1,تطوير الويب
React js و GraphQL يكسبان ثقة نيويورك تايمز   مدونة توتومينا,0,جزاك الله خيرا أخي عيسى على المقال  وعلى المقال الآخر أيضا        ما هو GraphQL   وبماذا يتميز عن طريقة REST     مدونة توتومينا  www tutomena com web development     أتينا في عدد من المقالات والدروس السابقة على ذكر دور GraphQL في إنشاء وتصميم الواجهات البرمجية APIs  ولكن لم يسبق لنا الحديث بإسهاب عن هذه        أتينا في عدد من المقالات والدروس السابقة على ذكر دور GraphQL في إنشاء وتصميم الواجهات البرمجية APIs  ولكن لم يسبق لنا الحديث بإسهاب عن هذه   الذي يعرف بـ  GraphQL بشكل ميسر ,0,تطوير الويب
ماذا عن استخدام منصة webflow لتصميم المواقع دون كتابة ولا كود,0,ياريت لو تصور فيديوهات وتنشرها على اليوتيوب حتى نستفاد من خبراتك  ,0,تطوير الويب
هل يمكن أن أثق في شركاء العمل  ,0,لا يوجد حقوق ملكية على الافكار  اذا فعلا الفكرة عبقرية فأنها ستسرق فور ظهورها  و لكن  تذكر ان جوجل ليست اول محرك بحث و لا الفيسبوك اول منصة اجتماعية المهم هو التنفيذ و تخلى عن فكرة الخوف من السرقة لان الفكرة سوف تسرق عاجلا ام اجلا ,1,تطوير الويب
هل توجد طريقة ب php لتوجيه كل زائر  من دولة الى اللغة التي تناسبه  ,0,نعم  يمكنك معرفة ip الزائر من خلال مصفوفة ال معلومات ال request بمثل هذه الطريقةومن ثما استعمال api   يوجد الكثير في الانترنت   يعلمك اي دولة يتبع هذا الاي بي ومن ثما تقرر اي لغة  ولكن هذه ليست افضل طريقة لتقديم موقع متعدد اللغات فال ip يعطيك مكان تواجد الشخص فقط وليس لغته او لغته المفضلة افضل حل لمعرفة لغته المفضلة هي من خلال استعمال لغة المتصفح الذي يستعمله ويمكنك معرفة لغة المتصفح عن طريق نفس المصفوفةلمعرفة تفاصل اكثر حول هذه المصفوفةhttp   php net manual en re   بالتوفيق,0,تطوير الويب
توقف يوتيوب عن العمل  هل تعرض للقرصنة من جديد,0,توقف يوتيوب عن العمل عندي أيضا,0,تطوير الويب
ما هي المتطلبات الكاملة لتطوير موقع,0,الكلمة المفتاح للبحث هي   roadmap   سأقترح عليك بعض الروابط المفيدة التي تشرح التسلسل المنطقي للمبرمجي الواب في 2018  ورغم قدم هذا الموضوع فاني ارى انه من المفيد مشاركته معك لانه يحتوي على معلومات و مصطلحات تقنية مفيدةبالتوفيق,1,تطوير الويب
ماذا احتاج لبناء موقع جديد  ,0,لإنشاء موقع من الصفر أنت تحتاج إلى هوست  إستضافة  و دومين     الموقع عبارة عنن وواجهتين  واجهة أمامية تسمى frontend و واجهة خلفية تسمى backend   الواجهة الأمامية   هي ماتراه  ببعينيك االآن و هي واجهة الموقع  كل ما يشاهده المستخدم من واجهات واشكال وايقونات وخطوط وصور ونصوص واستمارات وخيارات تعرض للمستخدم   وغيرها   ولتصمم واجهة أمامية لموقعك فيجب أنت تكون على دراية بال html و css و javascript الواجهة الخلفية   يمكنك تسميتها بعقل الموقع   يعني برمجة كل ما يتعلق بالبنية التحتية للتطبيق  وأيضا تصميم قواعد البيانات الخاصة بالتعامل مع هذا التطبيق   وبالطبع فإن برمجة المواقع تتطلب بناء البنية التحتية أو أساس الموقع أولا  ثم تأتي برمجة الواجهة كخطوة ثانية  ولبرمجتها يجب عليك أن تكون على دراية بأحد لغات البرمجة التالية python أو php أو ruby,0,تطوير الويب
لو قلت لك أنني سوف أفتح مشروعا  إلكتروني   ماذا ستقترح أن يكون  ,0,موقع للمنتجات الرقمية مثل منصة اسنادموقع لتوفير خدمات لفرق العمل عبر الانترنتما اعنيه هو مثلا عندما اقوم بانشاء فريق عمل مكون مثلا من 4 اشخاص كل شخص يقوم بعمل شئ معين لمشروع ما ونحن الـ5 بعيدين عن بعض  فقط نتواصل عبر الانترنت لذلك سوف نحتاج الي بعض الخدمات مثل وسيلة التواصل وخدمة تقسيم الاعمال وخدمة التاكد من ان المهام التي فرقناها قد انتهت وخدمة لمعرفة مدي انتهاء المشروع الذي نعمل عليه  والخدمة الاساسية الخاصة بتقسيم الربح في حال كان ربح المشروع بنسب معينة  حيث يتم تحديد نسبة الربح لكل شخص ثم يتم وضع رابط خاص بالموقع في المشروع نفسه بحيث عندما يربح المشروع مبلغ معين يتم ارسال ذلك المبلغ الي الموقع ثم يقوم الموقع بتقسيمه علي حسب النسب التي حددت قبلا  وقد تكون اهم نقطة قوة في هذا الموقع    جميع الخدمات التي يحتاجها فريق العمل الذي يعمل عن ب عدوتكون فكرته الاساسية وضع كل ما يحتاجه المبرمج العادي  مثل التحديات البرمجية  الاسئلة والاجوبة  المقالات والاخبار  مكان للعمل علي المشاريع عن ب عد مثل جيت هوب  ربما بعض الالعاب التي يفهمها المبرمجين فقط قد تضيف جانب ممتع للموقع ايضا من الافكار التي سوف تفيد جدا في جعل الموقع نشط هو نظام النقاط وليس نظام النقاط العادي مثلما يوجد في منصات حسوب انما نظام نقاط تستطيع استخدامه في بعض الاشياء مثل الحصول علي رتبة معينة داخل الموقع او الوصول الي عدد مشاريع اكبر وغيرها من الخدمات           اعقد كان لدي المزيد من الافكار ولكن ذاكرتي تخونني حاليا لذلك في حال تذكرت المزيد من الافكار سوف ارجع واكتبها هنا,0,تطوير الويب
لماذا لا تهتم حسوب بالنطاق الاساسي الخاص بها,1, aalagha  ,0,تطوير الويب
هل الربح من الانترنت حقيقة أم خيال ,1,عذرا ولكن لا يوجد شي يدعي الربح من الانترنت بل العمل بالانترنت فأنت تقدم شي مقابل المال الذي تحصل عليه وهذا اسمه عمل وليس ربح,1,تطوير الويب
موقع وقناتين بمحتوى رائع جدا  لكل مطور ويب أحببت مشاركتكم إياهم لمن لا يعرفهم,1,هناك أسامة الزيرو لا  أضن أنه يوجد شخص لا يعرفه ,1,تطوير الويب
