Question,Subj_Q,Answer,Subj_A
هل هناك حل واقعي لمشكلة النحافة المفرطة عند الشاب أم أنه عليه فقط تقبلها والتعايش معها  لأن  هذه المشكلة تحرمه من الكثير من الأشياء كممارسة الرياضات الجماعية كون بنيته الجسمانية لا تؤهله لذلك  واحتقار الذات وسوء التقدير من الآخرين  إلخ ,1,أخي الفاضل لقد سبق لي أن أجبت هذا السؤال بالتفصيل يكفي البحث في البروفايل الخاص لكن على كل حال سأجيبكماتعاني منه هو مرض في حد ذاته يستوجب زيارة طبيب مختص لتشخيص الأسبابوأسباب النحافة عديدة منها التالي1 فرط نشاط في الغدة الدرقية2 وجود ديدان في الامعاء3 سوء امتصاص نتيجة وجود مشاكل في المعدة مثل القرحة او الاصابة بالجرثومة الحلزونية4 سوء امتصاص نتيجة وجود حساسية الغلوتين  حساسية القمح 5 تناول سعرات حرارية فارغة ليس لها اي قيمة غذائية وعدم تناول الاغذية المركزة بالسعرات6 الاصابة بالسكري سواء النوع الاول او الثاني يؤدي الى خسارة سريعة للوزن7 وجود مشاكل نفسية مثل حالات الاكتئاب وتغيير المزاج والضغوطات النفسية تسبب عند البعض ضعف في الشهية8 القيام بمجهود حركي اكبر من معدل الطاقة التي تدخل الى الجسم9 ضعف في الشهية نتيجة شرب كميات كبيرة من القهوة والتدخين التي قد تكون أحد اهم العوامل في إصابة الرجال بالنحافة بشكل خاص10 قد تكون الاسباب جينية فالوراثة تلعب دور كبير في تحديد شكل الجسمالأهم أن تزور طبيبا مختصا لتحديد السبب الرئيسي بالضبط وبعدها بإمكاننا أن نساعدك في تنمية وتقوية عضلاتك لاشء مستحيل  ,0
لماذا المنتخبات الأوروبية دائما  تفوز بكأس العالم منذ 16 سنة وليس المنتخبات اللاتينية أو الأفريقية على الرغم من امتلاكهم القدرة على ذلك ,0,لان عندهم تخطيط وإدارة صحيحة    وليس الاعتماد علي الموهبة الفطرية فقط,1
ماذا تعرف عن تاريخ بطولة كأس العالم للأندية ,0,تاريخ إنشاء كأس العالم للأندية أعلنت الفيفا عام 1999 عن إنشاء بطولة جديدة يشارك فيها كل أبطال الاتحادات القارية لإضفاء نوع من الديمقراطية و مبدأ تكافؤ الفرص لمعرفة أقوى نادي في العالم كل سنة وهو الأمر الذي لم يكن متاحا في البطولة السابقة التي كانت تعرف فقط مشاركة بطل دوري أبطال أوروبا و بطل كأس ليبرتادوريس مما جعل الأندية أبطال الإتحادات القارية الأخرى تحتج لدى الفيفا كون لقب أحسن نادي في العالم محصورا بين اتحادين قاريين فقط  انهيار شريكة الفيفا التسويقية أ قيم كأس العالم للأندية لأول مرة في 2000 ولم تقم بين 2001 و2004 بسبب انهيار شريكة الفيفا التسويقية وت قام البطولة كل سنة منذ 2005 واستضاف كاس العالم للاندية كل من البرازيل واليابان والإمارات والمغرب وقطر ,0
ماذا تتوقع نتيجة مباراة الأهلي المصري وبايرن ميونيخ الألماني في نصف نهائي كأس العالم للأندية ,0,أتوقع فوز البايرن بنتيجة 2 1    والأهلي سيؤدي مباراه ممتازة ومشرفة,0
ما توقعاتكم لنتيجة مباراه الأهلي وبايرن ميونيخ في نصف نهائي كأس العالم للأندية 2020    ,0,فوز بايرن ميونخالاهلى المصرى وبايرن ميونخ الالمانى  موعد المباراة والقنوات الناقلة كأس العالم للاندية,0
هل يمكن لشاب بعمر 17 سنة مستواه في كرة القدم تحت المتوسط أن يصبح محترف في كرة القدم أم أنها تحتاج لممارسة منذ الصغر  وإن كان ممكن  ما الطرق والحلول لذلك ,0,صعب في هذا السن ان تمارس كرة القدم في درجة الاحتراف    الا لو كنت موهوب بدرجة كبيرة    ولكن اذا كان عندك ارادة حقيقية وعزيمة    يمكنك ان تبدأ في لعب الكرة بجدية والتمسك في أملك ان تصبح لاعبا محترفا,1
هل قرار الاستغناء عن يوفيتش كان صائب ا من طرف زيدان ,0,اعتقد ما دام زيدان لم يضعه في اولوياته و كان هذا واضح في قلة مشاركاته فافضل قرار هو اعاره اللاعب فهذا القرار في صالح الاعب حتي يلعب مباريات اكثر و يثبت انه ظلم و يثقل موهبته و اعتقد ان هذا القرار مفيد ايضا لزيدان فقد ارتاح من السؤال المعتاد لماذا لا يشارك يوفيتش و لكن يجب ان نتفق ان يوفيتش لم يحصل علي ربع فرصه حتي و انه ظلم من قبل زيدان,1
هل لعب الشطرنج موهبة فطرية أم مهارة م كتسبة ,1,الشطرنج مهارة يتم تعلمها ام الفطرة فيها الذكاء في استخدام المهارات المكتسبة ولمعرفة أصل الشطرنج وتاريخه يمكنك تتبع الرابط التالي,0
كيف يمكنني زيادة مهاراتي في لعبة الشطرنج  وهل توجد مسابقات أو منتديات على الإنترنت يمكنني الاشتراك بها ,0,طبعا يمكنك ذلك 70 بالمئة من مهارة الشطرنج نابعة من الممارسة فلو أحضرت أذكى شخص وعلمته كيف يحرك الأحجار وجعلته يلعب ضد شخص غبي قد لعب 3000 مباراة شطرنج بالتأكيد ستكون الغلبة للثاني هناك تطبيقات للعب الشطرنج على متجر غوغل ويمكنك اللعب مع اناس عبر الإنترنت ,0
هل يمكن للشطرنج أن تكون لعبة للمصابين بمرض التوحد ,0,ممكن علي حسب درجه التوحد لان في اطفال مصابين بالتوحد ذكائهم عالي ممكن تفوق الطفل العادي لو أدربوا عليها صح علي يد متخصصين هيتقونها جدا,1
هل يستحق كومان البقاء مع برشلونة بعد نهاية الموسم الحالي ,0,نعم يستحق حتى لو خسر بالتسعة والعشرة أمام باريس لعدة أسباب ,1
هل استخدام الفيتامينات المتعددة مهم ومفيد للاعب كمال الأجسام  أنا شخص رياضي وآكل جيد ا  وقد نصحني بعض الأشخاص بالفيتامينات المتعددة كدعم غذائي ,0,لمكملات الغذائية ليست للجميع وإنما لكبار السن البالغين وللأشخاص الذين سينتفعون من مكملات معينة وأن احتياجك الغذائى ينبغى تلبيته بشكل أساسى عن طريق النظام الغذائى  ومع ذلك تكون المكملات بالنسبة لبعض الأشخاص طريقة مفيدة للحصول على المواد الغذائية التى يفتقرون لهاوللإستفادة من هذه المكملات يجب الابتعاد عن كل ما يفسد فائدة هذه المكملات وتعتبر من مدمرات الصحة مثل   التدخين والوجبات السريعة ال Fast Food والمشروبات الغازية والسكريات وغيرها   إذا  يجب تعديل النظام ونمط الحياة أولا قبل أن نفكر فى أخذ هذه المكملات ولازم نعرف ونفهم حاجه مهمةوهى أن الغذاء الذى صنعه الله عز وجل ليس عاجزوهو قادر على أن يمد الإنسان بكل إحتياجاته اليومية من هذه المكملات دون أخذها من مصدر خارجىواذا ما استطاع الإنسان أن يوازن وينوع وجباته ويأخذها تبعا  لإحتياجاته وحالته الفسيولوجية وعمره ونمط حياته اليومى ونشاطه البدنى وكل شيء  وال Multi Vitamins خد بالك انه مش علاج والمالتى فيتامين بيتاخد كنوع من الوقايه أو نوع من الدعم لكن تذكر دائما الأساس هو الغذاء وتنويع مصادر الغذاء اذا كان حليب   بيض   مشتقات الحليب   لحوم حمراء   اسماك  ولو حابب تستفيد بأكبر استفادة من الكملات لازم تعرف ازاى بتتاخد وايه الحاجات اللى لو اتاخدت مع المكملات بتضيع فايدتها والمقال ده ممكن يفيدك علشان تعرف أقصد ايه وممكن تنزل لاخر فقرة الخاصة بالمكملات الغذائية علطول  فوائد الفيتامينات والمعادن للجسم   ولماذا لا تستفيد منها أجسامنا  freshheallth blogspot com ,0
كيف ابدأ في تعلم الشطرنج ,0,انصحك   بكورس تعلم الشطرنج فى 60 دقيقة  شاهد هذا الفيديو  ستجده أول فيديو بالأسفللو عاوز تتعلم شطرنج صح بجد و تفهم شطرنج و تصل إلى مستوى الاحتراف يبقى تابعنى و شاهد كل كورستنا المجانية فى أسفل الصفحة    ＬＩＫＥ   ＳＨＡＲＥ   ＳＵＢＳＣＲＩＢＥ  و من هنا تبدأ تعلم الشطرنج من الألف إلى الياء learn chess                                           كورس تعلم لعبة الشطرنج  كورس التكتيك  تكتيكات الشطرنج    كورس حالات التعادل فى الشطرنج  الباطه   كورس الاستراتيجية  استراتيجيات الشطرنج    كورس الميدل جيم  استراتيجيات الشطرنج فى وسط الدور    كورس كورس أهم 300 موقف شطرنج  سلسلة فن الهجوم فى الشطرنج  كورسات شطرنج مترجمة,0
أود زيادة وزني مع العلم أنني بدأت برياضة كمال الأجسام  فبماذا تنصحني ,0,انصحك بزياده السعرات اليوميه ل ٥٠٠٠ سعر مع عدم زياده الوقت فى الجيم و القيام بعمل تحاليل تخص الغده الدرقيه,0
ما الفرق الـ 32 التي ستشارك بكأس العالم 2022 وست ق ام في قطر ,0,يمكنك مشاهدة هذا المقال الذي يقدم معلومات مفصلة عن كأس العالم قطر والفرق المشاركة والقنوات الوطنية حيث يمكنك مشاهدة المبادرات ,0
أنا شاب عمري 36 عام  لم أمارس الرياضة البدنية أبدا  والآن أشعر بألم في العضلات كلما بذلت مجهود أو في طلوع السلم مثلا   هل يمكن أن أمارس الرياضة أو أذهب إلى صالة تمارين  وكيف يجب أن أبدأ حتى أحافظ على جسمي ولياقتي البدنية ,0,ممارسة نط الحبل خمس دقائق كل يوم,0
هل هناك قانون تود تغييره في كرة القدم ,0,نعم نعم ان تكون الكرة للنساء ايضا والاهتمام بها مثل الاهتمام بالرجال   لانني احب الكرة كثيرا جدا منذ الصغر  وامارسها من وقت لاخر  وسرعان ما اتذكر ان ليس لها اهتمام   اقول لا داعي للصراع ع وصول للعب في فريق اول او ثاني    ,1
ماذا ينقص نادي مانشستر سيتي لكرة القدم للفوز بلقب الدوري الإنجليزي هذا الموسم 2020 2021 ,0,محرز,1
هل حد فيكو لي تجربه مع تمارين التمدد و هل زادت من طولك ,0,لا يوجد تمارين تزيد الطول,0
هل الافضل افعل تمارين التمدد و انا صائم ام افعلها بعد الفطور ,0,يفضل أن تقوم بتمارين التمدد بعد الفطور  حيث يحتاج جسمك إلى الطاقة والتغذية للقيام بالتمارين بشكل صحيح وآمن  كما أنه من المهم شرب الماء بشكل كاف خلال فترة الصيام وبعدها لتجنب الجفاف وضربات الشمس ,0
ازاي نتجنب الاصابات في التمرين   ياريت يبقي رد نموذجي وتفصيلي  ,0,لتجنب الإصابات أثناء التمرين  يجب اتباع بعض الإرشادات والتدابير الوقائية التالية 0001  التسخين  2  استخدام المعدات الواقية  3  تقدير قدراتك  4  التغذية  5  التأهيل  ي6  استشارة طبية  ,0
ماهي شروط الفيفا لتغيير منتخب اللاعب ,0,الشرط الاولاني يمثل البلد ما يكونش لعب لاي منتخب اول في اي بلد الشرط الثاني كن عايش من البلد تكون عايش في البلد من ثلاث سنوات الى خمس سنوات والافضل يكون مثل الناشئين فيها يصبح يلعب المنتخب الاول ما كنتش مثل اي منتخب اول ثاني ما اظن دي شروط الفيفا,0
السلام عليكم ما هي افضل رياضة من هذه الرياضات من حيث كل شئ و ماهي رياضة التي يمكن ان تمارس ما رياضة اخري  وجزاكم الله خيرا معلومة اضافية عمري19 1 الكاليثتنس 2 رمي القرص او كرة 3 الطائرة 4 السباحة 5 التنس 6 اسكواش 7 كرة القدم,0,لا يوجد رياضة واحدة تعتبر الأفضل بشكل عام  فكل رياضة لها فوائد مختلفة على الصحة العامة واللياقة البدنية  ومن المهم اختيار الرياضة التي تناسبك وتستطيع ممارستها بشكل منتظم ومستمر وبالنسبة لرياضة يمكن ممارستها دون الحاجة إلى رياضات أخرى  فذلك يعتمد على اهتماماتك وقدراتك البدنية  لذلك  يجب عليك تجربة عدة رياضات حتى تختار ما يناسبك وإذا كان هناك شئ يجعل رياضة معينة أفضل من غيرها  فإنه سوف يختلف من شخص لآخر حسب احتياجاته وأهدافه ولإثراء المعرفة  فإن جميع هذه الرياضات التي ذ ك ر ت لديها فوائد صحية كثيرة  بالإضافة إلى أن كل رياضة تحس  ن قوام الجسم بطرق مختلفة ,0
 أنت  لاعبة جيدة لكن تنقصك بعض اللياقة  الجملة التي تتكرر دائما  من المدربين وزملائي الاعبين    مع العلم ان وزني مثالي وابذل جهدي بالتمرين لكن التفكير بالامر يجعلني افكر بترك المجالات الرياضية كليا   ماذا أفعل ,1,رقم 1 بعض المدربين يقولون ذلك حتى تشكي أنك عندك مشكله و تشتركين معهم لذلك لا تعطي اهتمام لكلامهم وبالمناسبة مفهوم الحياه الصحيه ليس بالصور ولكن بنظام أ ل صحي والرياضه أما الصور والمثاليه هذه لاتخدعك هذه أكبر خدعه في هذا المجال  وبالمناسبة أنا مدربة رياضيه اذا أردتي أن تسأليني عن شيئ بامكانك مراسلتي أحب المساعده ,1
أيهما أفضل للجسم  المشي لمدة ساعة أو ممارسة الكارديو في المنزل ,1,كلاهما مفيد للجسم ويعتبران تمارين رائعة لتحسين الصحة العامة واللياقة البدنية  إذا كان هدفك هو فقدان الوزن  فإن ممارسة الكارديو في المنزل قد يكون أكثر فعالية  خاصة إذا كانت التمارين عالية الشدة مثل تمارين HIIT  ومع ذلك  يجب أخذ بعض الأشياء في الاعتبار مثل المستوى الحالي للياقة البدنية وأهداف التمرين  بشكل عام  يجب تحديد نوع التمرين بناء  على احتياجات جسمك وأهدافك ,0
طريق عمل فيديو تمارين كمال الأجسام و مقاطع فيديو وصورة تجريب للرسوم المتحركة للياقة البدنية ثلاثية الأبعاد  ,0,لإنشاء فيديو تمرين كمال الأجسام مع مقاطع فيديو وصورة تجريب للرسوم المتحركة ثلاثية الأبعاد  يمكنك الاستفادة من بعض الأدوات التالية ,0
لدي فكره عن كرة القدم ولكن اريد ان انشئ محتوى عنها فكيف اصنع محتوى عن كرة القدم مميز اريد ملاحضات   ,0,كره عن كرة القدم ولكن اريد ان انشئ محتوى عنها فكيف اصنع محتوى عن كرة القدم مميز اريد ملاحضات   لتصنيع محتوى عن كرة القدم المميز  يمكنك البدء بتحديد الأهداف التي تريد الوصول إليها من خلال المحتوى  بعد ذلك  يمكنك استخدام البحث للبحث عن المصادر المفيدة التي تساعدك في تحقيق هذه الأهداف  يمكنك أيض ا الاعتماد على المصادر الموجودة في الشبكة العالمية التي تتضمن مواقع التواصل الاجتماعي والمواقع التي تقدم الخبرات  بما في ذلك المواقع التي تخص الكرة القدم بعد ذلك  يمكنك استخدام الأدوات التي توفرها الدليل الإحصائي للتأكد من أن المحتوى الذي تنشأه يحتوي على معلومات محدثة ودقيقة بناء  على أحدث الأخبار والأ,0
هل تجوز ممارسة يوغا الاسترخاء  ,0,وز ممارسة يوغا الاسترخاء  يمكنك ممارسة يوغا الاسترخاء للحصول على الاسترخاء الكامل للجسم  والتحقق من أن جسمك يشعر براحة ويسترخي  يوغا الاسترخاء يعتبر أحد التقنيات الأساسية للتخلص من الإجهاد والإضطرابات النفسية  والحصول على نوع من الاسترخاء الذي يؤدي إلى تحسين الحياة والصحة النفسية ومشاكل النوم ,0
كيف تعمل جدول تمارين منزلي خاص فيك وكيف اختار التمارين المناسبة ومن اين احصل عليها ,0,هذه سلسلة من التمارين اليومية المنزلية خاصة بي وهناك عدة تمارين أخرى منزلية يمكنك الاطلاع عليها تمارين منزلية,0
ليس لدي وقت لممارسة الرياضة   فأنا أعمل من الساعة 8 صباح ا حتى الساعة 5 مساء   أتناول غدائي في الساعة 05 30 مساء    ولا يمكنني ممارسة الرياضة في المساء لأنه يزعج نومي  هل يكفي أن أمارس الرياضة في عطلة نهاية الأسبوع ,0,طيب ابغ انضمه في اي نادي,0
ما هو سبب تراجع مستوى كريستيانو رونالدو بشكل كبير بعدما كان اسطورة كرة قدم ,1,م ن قال انه تراجع   ,1
كيف يمكنني مشاهدة المباريات بث مباشر يلا شوت كورة لايف كورة اون لاين ,0,نعم,1
من الافضل في تاريخ كرة القدم   ,1,ليو      ,1
هل ستتابع كأس العام للأندية  ,0,بكل تأكيد لاني انا متابع جيد جدا لكره القدم فكيف لا وأيضا أن ريال مدريد مشترك في هذه البطوله,1
هل مشاهده كرة القدم ضياع الوقت  ,0,لا,1
ما هي مسابقة السوبر الأوروبي  ولماذا الكل يتحدث عنها ,0,لانها ستغير قواعد لعبة كرة القدم و ستنهي هيمنة الاتحاد الاوروبي على الكرة الأوروبية   اقرأ المقال التالي بخصوص السوبر الأوروبي,0
ما هو أفضل جدول تمارين لتكبير العضلات دون تغيير في وزن الجسم ,0,لايوجد شيء اسمه أفضل جدول تمارين لتكبير العضلات و التغيير في وزن الجسم يحدث طبيعي سواء زدت عضل أم دهون,1
من هم اللاعبين الذين تفضلهم فى التاريخ  ,0,ميسي  فرانك لامبارد,0
في أي عام حصل نادي برشلونة لكرة القدم على بطولة الدوري الإسباني لأول مرة في تاريخه ,0,اول لقب لنادي برشلونة في الدوري الاسباني حيث استطاع النادي بفضل بعض لاعبي الفريق أمثال جوسيب ساميتيير وفرانز بلاتكو وزامورا وغيرهم  تحقيق  النجاح والتميز في الأداء لهذا الفريق  إذ استطاعوا الفوز بأول بطولة للدوري الاسباني   وكان ذلك عام 1929هذا جوسيب ساميتييرحصل برشلونة على لقب الليجا في 26 مناسبة  آخرها عام 2019  بينما احتل المركز الثاني  الوصافة  في 25 مناسبة  آخرها عام 2017 عندما ظفر ريال مدريد بالمسابقة في آخر جولة  بفارق نقطة وحيدة عن البارسا ,0
ما هى البلد ذات أكبر معدل صحه في العالم  ,0,نيجيريا كما اتوقع,0
ما هى فوائد واضرار استبدال الدجاج واللحم بالبروتين النباتي  ,0,خمسة حسبما أذكر١  البروتين النباتي لا يمتصه الجسم بالكامل لذا عليك تناول كميات أكبر للوصول لاكتفائك اليومي٢  قد يؤخر أو يمنع امتصاص بعض المعادن في جسمك٣  البروتين النباتي لا يحوي كل الاحماض الأمينية  فيعاني جسمك من نقص في أحماض ميثونين  ليسين و تربتوفان بالاخص  اذا التمثيل البروتيني في جسمك protein synthesis لا يكون كاملا و قد تحتاج لمكملات   باستثناء سبيرولينا ٤  مصادر البروتين الحيواني كاللحوم تحوي ايضا عناصر غذائية اخرى لا تتواجد في البروتين النباتي كالكارنيتين والكرياتين و التاورين و بالأخص فيتامين ب ١٢   كوبالامين  و هو فيتامين الطاقة و نقصه يسبب فقر الدم و العمي  ينصح بشدة تناوله كمكملات للنباتيين٥  محتوى البروتين في النبات اضعف بكثير من اللحوم  لذا عليك تناول كميات كبيرة جدا من الطعام لتصل لحاجتك اليوميةاضيف  احد اهم مصادر البروتين النباتي هو فول الصويا  و هذا يزيد نسب الاستروجين لذا لا انصح به للرجال  افضل منه بروتين البازلاء pea proteinاخيرا   الطعم     طعم الستيك اللذيذ medium rare لا يعوضه اي نباتالفوائد ليست كثيرة ١  التحكم بمستويات الكوليسترول٢  تقليل كمية الدهون في الطعام٣  مصادر البروتين النباتي غنية جدا بالمعادن و الألياف,0
السلام عليكم   كيف يمكنني الانضمام لنادي كرة قدم بمصر مع العلم ان عمري 18 سنه ومستوايا فوق المتوسط ولم التحق بأكادمية او نادي من قبل ,0,أنا لا أحبطك أو أقف في حلملكولكن أريد أن أسألك سؤالحينما تقف أمام الله ويسألك عن شبابك فماذا سيكون جوابك,0
رسميا    لاعب كرة القدم الأشهر ينضم للنصر السعودي في صفقة هي الاغلي للاعب كرة قدم    في رأيك هل هي صفقة موفقة للاعب والنادي والكرة السعودية عموما   ,0,في البداية أشكرك على طلب الإجابة على سؤالك  بالنسبة لصفقة انتقال لاعب أندية سبورتينج لشبونة البرتغالي ومانشستر يونايتد الانجليزي و ريال مدريد الإسباني و اليوفنتوس الإيطالي البرتغالي كريستيانو رونالدو إلى نادي النصر السعودي في صفقة مفاجئة لم تخطر على بال أحد من قبل   أحلام نومة العصر كما يقال في مصر    حيث أعلن نادي النصر السعودي  مساء الجمعة عن توقيع عقد احترافي مع البرتغالي كريستيانو رونالدو يمتد حتى صيف 2025  تحدث الكثير عن من هو المستفيد من هذه الصفقة  في الواقع كل الأطراف المعنية ستستفيد من الصفقة بشكل أو بآخر  لكن المستفيد الأكبر وهو نادي العالمي وهو لقب نادي النصر السعودي بشكل خاص والكرةفي البداية أشكرك على طلب الإجابة على سؤالك  بالنسبة لصفقة انتقال لاعب أندية سبورتينج لشبونة البرتغالي ومانشستر يونايتد الانجليزي و ريال مدريد الإسباني و اليوفنتوس الإيطالي البرتغالي كريستيانو رونالدو إلى نادي النصر السعودي في صفقة مفاجئة لم تخطر على بال أحد من قبل   أحلام نومة العصر كما يقال في مصر    حيث أعلن نادي النصر السعودي  مساء الجمعة عن توقيع عقد احترافي مع البرتغالي كريستيانو رونالدو يمتد حتى صيف 2025  تحدث الكثير عن من هو المستفيد من هذه الصفقة  في الواقع كل الأطراف المعنية ستستفيد من الصفقة بشكل أو بآخر  لكن المستفيد الأكبر وهو نادي العالمي وهو لقب نادي النصر السعودي بشكل خاص والكرة السعودية بشكل عام  فالبداية كانت بعد الإعلان عن الصفقة  حيث وصل متابعين صفحة نادي النصر السعودي على تطبيق الانستجرام لوحده لحين كتابة الإجابة نحو 4 ملاين ونصف متابع بعد أن كانت 80 ألف فقط  ناهيك عن الأرباح المتوقعة التي سيجنيها النادي من حيث الشهرة وعوائد مبيعات القميص الأصفر والأزرق الذي يحمل اسم كريستيانو  غير قيم الرعاية مقابل الإعلان على قمصان النادي أيض ا  فلنأخذ ماحدث مع ارتفاع عوائد مبيعات قمصان الأندية العالمية مثل ناديي مانشستر يونايتد الانجليزي بعد التوقيع مع النجم كريستيانو رونالدو و باريس سان جيرمان الفرنسي بعد توقيعه مع النجم الأرجنتيني ليونيل ميسي  وارتفعت مبيعات مانشستر يونايتد الإنجليزي  بعد إعادته نجمهالسابق كريستيانو رونالدو  ولتوضيح مدى أهمية عوائد بيع قمصان اللاعبين  فلنأخذ النجمين كريستيانو رونالدو وليونيل ميسي  مثالا  على ما يمكن تحقيقه من عائد اقتصادي مقابل بيع قمصان اللاعبين  إذ بمجرد توقيع رونالدو على عقد العودة إلى مانشستر يونايتد من يوفنتوس في الصيف الماضي  وتوقيع ميسي مجانا  لباريس سان جيرمان  تم طرح قميصي اللاعبين للبيع في متاجر الناديين  وأحدثا تأثيرا  اقتصاديا  كبيرا  في مداخيل الناديين  التي وصفت بأنها تاريخية فبعد الإعلان عن ارتداء رونالدو قميصه السابق رقم 7 مع الشياطين الحمر  حققت مبيعات قمصان النجم البرتغالي حوالي 187 1 مليون جنيه إسترليني  مقابل 103 8 مليون جنيه إسترليني عائد بيع قمصان الأرجنتيني ميسي مع نادي باريس سان جيرمان  وذلك بعد 8 أيام فقط من توقيع النجمين عقديهما مع الناديين  وحسب ما نشرته صحيفة عكاظ السعودية  فلقد نفذت أول دفعة من القمصان الخاصة باللاعب كريستيانو رونالدو في نادي النصر   وقيمه القميص 120 ريال سعودي و حيث تم بيع مليونا قميص في 48 ساعه فقط وبقيمة وصلت ل 240 مليون ريال سعودي أي ما يعادل 63 مليون دولار   أما بالنسبة للاعب كريستيانو رونالدو فهناك شيئين سيحدث بعد هذا الانتقال  فمن الناحية المالية وبراتب يصل إلى 200 مليون دولار أصبح كريستيانو في ع مر الـ37 يصبح الرياضي الأعلى أجر ا في العام الجديد  حسب مجلة  فوربس  Forbes   الأمريكية  أما الشيء الآخر أو الوجه السيء بالنسبة لرونالدو في هذا الانتقال فإن كريستيانو اغلق صفحة من الانجازات الكبيرة حيث إن صاحب الكرة الذهبية خمس مرات  مهدد بفقد الكثير من الأرقام القياسية على سبيل المثال لا الحصر  فإن لقب الهداف التاريخي لبطولة دوري أبطال أوروبا برصيد 140 هدف  حيث إن هذا المركز مهدد بخسارته لصالح اللاعب الأرجنتيني ليونيل ميسي برصيد 129 هدف وهو مازال نشط في بطولة دوري أبطال أوروبا مع نادي باريس سان جيرمان   وهذا رأي البسيط عن هذا الانتقال الخيالي والغير متوقع  وسنرى ماذا سيحدث مستقب لا  ,0
لماذا المنتخب الإنجليزي لكرة القدم دائما يفشل  ,0,لسببين  أولهما   لأن القيمة التسويقية للاعبيهم أكثر تضخيما    بالله عليك ستيرلينغ أزيد من 100    في حين أن قيمتهم الحقيقية أقل بكثير  ثانيا   إعطاء الأهمية الكبرى لأسماء اللاعبين وشراء النجوم   و اغفال أهمية المدرب و الخطط التكتيكية  و خير برهان هو المنتخب الأرجنتيني   منتخب غير مدجج بالنجوم   بل تم تصنيف بعض اللاعبين من الدرجة الثالثة   و مع ذلك حصد الأخضر و اليابس  فمشكلة المنتخب الإنجليزي يلعب بدون خطة   ان عمل على تحسين هذه النقطة سيكون كالمنتخب الفرنسي  ,1
عمري 22 سنة و حلمي أن أصبح لاعب كرة قدم محترف  لم يسبق لي أن لعبت مع نادي لكنني أتدرب وحدي  هل لازالت لدي فرصة لتحقيق حلمي  و إذا ماذا يجب علي أن أفعل و أتمنى أن تقترحو علي دورة تكوينية أو وكيل بإمكانه مساعدتي  شكرا مسبقا ,1,طبعا يمكنك اذا عملت بجدحاول بان تنضم الى فريق في البداية وأر هم مهاراتك,0
كم يجب ان اتمرن في الاسبوع من يوم ومدة التمرين لإنقاص الوزن ,0,لقد أجبت عن هذا السؤال لأكثر من مرة وإن عملت جولة في بروفايلي ستجد ردود مفصلة ومدققة لهذا الغرض ولكن لابأس سأعيد الإجابة في سطور ولعله خيرالرياضة من دون حمية لن توصلك إلى هدفك يجب أن تأخذ حمية مناسبة لهذا الغرض أولا  ثانيالقد أجبت عن هذا السؤال لأكثر من مرة وإن عملت جولة في بروفايلي ستجد ردود مفصلة ومدققة لهذا الغرض ولكن لابأس سأعيد الإجابة في سطور ولعله خيرالرياضة من دون حمية لن توصلك إلى هدفك يجب أن تأخذ حمية مناسبة لهذا الغرض أولا  ثانيا ثالثابعد حذفك لوجبة الفطور إستمر على صيامك المتقطع أو صيام الماء إلى غاية وجبة الغذاء بحيث يجب أن تكون قد قضيت 16 ساعة بدون أكل من عشاء البارحة إلى غذاء اليوم   رابعاثم تناول غذاءك بعد الحصة وبعده قيلولة خفيفة يكن جسمك قد عاد إلى طبيعته ثم خذ حماما بعد ذالك لإزالة العرق لايستحب أن تأخذ الحمام بعد الرياضة مباشرة ففي ذالك سلبيات على الصحة تظهر بعد مدة من جملتها أمراض ضيق التنفس يستحسن ان تكتفي بعد الحصة بتبليل منشفة بماء ساخن وامسح بها عرقك وأخر الإستحمام ماأمكن ويمكن أخذه ليلا فهو يفيد في إزالة الأرق للنوم بشكل أفضل   خامساوفقكم الرحمن لما يحبه ويرضاه ,0
أناعمري21سنة و مقيم بفرنسا أريد أن أحتراف كرة القدم فأنا لاعب جيده ولاأعرف متى تبدأ الاختبارات وهل يمكنني العمل ولاعب كرة القدم ,0,فرنسا هي الدولة الوحيدة في العالم الذي تستقبل لاعبين ما عليك هي البحت عن أكاديميات التدريب وأن تسأل عن كيفية التسجيل وعن جميع الأسئلة الذي سوف تطرحها عليهم بالنسبة للعمل  ولكن في الأول سوف تخضع إلى إختبار  تدرب على تمارين اللياقة البدنية والكارديو وتمارين الإطالة العضليةتمرن على الجري لمدة ساعة في اليوم لكي تقوم برفع المستوى البدني لجسمك  في حالة الإرهاق يوم واحد راحةتمرن في صالة كمال الأجسام مرتين في الأسبوع,0
